id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,platform_currency,first_priced_at
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.023846606,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,72511146418,86712634466,1729144750,0.0017,89,237,2,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,40,-1,0.25433767,2021-04-18T00:00:00Z,112016154.72,0.00061788529,0.0266,-20973806.32,-0.1577,44803571.04,0.0266,,
TKX,TKX,TKX,Tokenize Xchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TKX.png,active,19.25980221,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,79996000,100000000,1540707137,0.0015,3,10,0,2020-02-06T00:00:00Z,2020-10-03T00:00:00Z,2020-04-01T00:00:00Z,41,1,21.81832550,2022-10-30T00:00:00Z,74017335.03,1.04373564,0.0573,4154710.62,0.0595,83494675.98,0.0573,ETH,
CRI,CRI,CRI,Crypto International,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CRI.png,active,0.51620042,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,2963049881,10000850776,1529527595,0.0015,6,18,0,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,2021-11-14T00:00:00Z,42,3,0.61611662,2022-07-07T00:00:00Z,203768.29,0.036554344,0.0762,9542.96,0.0491,108312344.95,0.0762,ETH,2022-03-10T23:23:42.193271Z
LUNA,LUNA,LUNC,Terra Luna Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LUNA.png,active,0.00022193179,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,6881515136156,6907072876045,1527226967,0.0015,105,246,30,2019-06-05T00:00:00Z,2019-07-26T00:00:00Z,2019-07-04T00:00:00Z,43,-2,116.53397092,2022-04-04T00:00:00Z,352732451.05,0.0000091145425,0.0428,-256611153.21,-0.4211,62753558.22,0.0429,LUNA,
HBAR,HBAR,HBAR,Hedera Hashgraph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBAR.jpg,active,0.060478661,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,24615666625,50000000000,1488722561,0.0014,56,106,0,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,44,0,0.50531471,2021-09-15T00:00:00Z,93006474.06,0.0017654800,0.0301,-5912763.84,-0.0598,43458466.33,0.0301,,
ICP,ICP,ICP,Dfinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ICP.jpg,active,5.52330599,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,268967526,491264009,1485589945,0.0014,72,128,0,2021-01-30T00:00:00Z,2021-05-06T00:00:00Z,2021-01-30T00:00:00Z,45,3,455.04623590,2021-05-05T00:00:00Z,143967653.93,0.59141911,0.1199,64286314.91,0.8068,159089431.44,0.1199,,2021-03-24T00:11:30.852913Z
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.24088175,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,6008529192,8888888888,1447345017,0.0014,127,340,6,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,46,-3,0.70054517,2021-03-12T00:00:00Z,1202837118.56,-0.0015714316,-0.0065,-179288178.20,-0.1297,-9441992.38,-0.0065,CHZ,
EGLD,EGLD,EGLD,Elrond,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EGLD.jpeg,active,59.50878168,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,23765077,24526009,1414230779,0.0014,62,115,14,2020-09-02T00:00:00Z,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,47,-1,492.57657560,2021-11-22T00:00:00Z,144297741.17,0.49700190,0.0084,40527603.63,0.3906,12085693.25,0.0086,,
APE7,APE7,APE,ApeCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APE7.jpeg,active,4.39989871,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,314218750,1000000000,1382530673,0.0013,93,184,4,2022-03-16T00:00:00Z,2022-03-17T00:00:00Z,2022-03-17T00:00:00Z,48,-1,23.75029916,2022-04-28T00:00:00Z,370630255.99,0.17025053,0.0403,-8089843.90,-0.0214,53495908.82,0.0403,ETH,2022-03-17T16:40:56.703528Z
SAND2,SAND2,SAND,The Sandbox,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SAND2.svg,active,0.82510342,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1527270208,3000000000,1260155873,0.0012,125,287,1,2020-08-09T00:00:00Z,2020-08-14T00:00:00Z,2020-08-11T00:00:00Z,49,1,7.58676201,2021-11-28T00:00:00Z,517956952.73,0.013649563,0.0168,-114382227.67,-0.1809,20846571.44,0.0168,ETH,
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,1.25729057,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1000000000,1000000000,1257290573,0.0012,70,165,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,50,3,14.33789167,2021-04-16T00:00:00Z,107699043.04,0.11281412,0.0986,15843097.50,0.1725,112814123.99,0.0986,THETA,
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,1.36993747,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,906868777,,1242353516,0.0012,140,493,227,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,51,-2,10.52840147,2017-12-17T00:00:00Z,71354472.49,-0.017619554,-0.0127,20618317.06,0.4064,-15891087.17,-0.0126,,
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,1.15076385,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1069605578,,1230863432,0.0012,241,1762,138,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,52,0,20.87689097,2018-04-29T00:00:00Z,450419642.72,0.040012615,0.0360,-66582756.96,-0.1288,42894195.96,0.0361,EOS,
FRAX,FRAX,FRAX,Frax,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FRAX.jpg,active,0.99856218,2022-11-03T00:00:00Z,2022-11-03T21:19:00Z,1211933898,1211933898,1210191350,0.0012,19,139,7,2020-12-16T00:00:00Z,2020-12-16T00:00:00Z,2020-12-21T00:00:00Z,53,-2,3.22286790,2020-12-17T00:00:00Z,6744255.03,-0.0034405096,-0.0034,1118896.49,0.1989,-4169670.22,-0.0034,ETH,2020-12-22T19:46:11.961151Z
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,84.70812697,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,14156541,16000000,1199174092,0.0011,170,782,13,2018-11-26T00:00:00Z,2020-10-02T00:00:00Z,2020-10-04T00:00:00Z,54,0,628.99910189,2021-05-18T00:00:00Z,186906092.91,4.18573109,0.0520,9429987.30,0.0531,59286526.23,0.0520,ETH,
LDO,LDO,LDO,Lido DAO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/LDO.png,active,1.62719890,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,728106887,1000000000,1184774727,0.0011,59,111,0,2021-01-05T00:00:00Z,2021-01-05T00:00:00Z,2021-01-06T00:00:00Z,55,1,6.40299371,2021-08-21T00:00:00Z,92530658.99,0.13629107,0.0914,3170451.03,0.0355,102266631.82,0.0945,ETH,2021-01-06T15:31:25.629792Z
MANA,MANA,MANA,Decentraland,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/mana.svg,active,0.64676439,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1815808613,2193451327,1174400348,0.0011,190,467,3,2017-07-17T00:00:00Z,2017-07-17T00:00:00Z,2018-08-29T00:00:00Z,56,-1,5.22222570,2021-11-25T00:00:00Z,214913299.69,0.024172078,0.0388,-47295789.65,-0.1804,43890403.29,0.0388,ETH,
XCN2,XCN2,XCN,Chain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XCN2.png,active,0.053574847,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,18362462672,68892053757,983766134,0.0009,30,50,0,2015-11-18T00:00:00Z,2015-11-18T00:00:00Z,2022-03-10T00:00:00Z,57,0,0.18197066,2022-06-01T00:00:00Z,26750312.93,-0.00030088654,-0.0056,-8202752.88,-0.2347,-5524661.64,-0.0056,ETH,2022-03-24T19:46:38.051918Z
APTOS,APTOS,APT,Aptos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/APTOS.png,active,7.35080847,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,133387830,1003386830,980508391,0.0009,46,79,0,2022-01-11T00:00:00Z,2022-01-11T00:00:00Z,2022-01-05T00:00:00Z,58,0,9.75151078,2022-10-23T00:00:00Z,915721837.56,0.0065241776,0.0009,-799539280.88,-0.4661,2028614.64,0.0021,,2022-10-19T03:17:11.796619Z
KCS,KCS,KCS,KuCoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/kcs.jpg,active,9.98962790,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,97512132,145012132,974109913,0.0009,18,130,4691,2017-09-17T00:00:00Z,2020-03-26T00:00:00Z,2019-06-04T00:00:00Z,59,0,27.61562939,2021-12-01T00:00:00Z,1739925.37,0.079347357,0.0080,-903084.16,-0.3417,7737329.91,0.0080,ETH,
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,8.88761076,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,109094764,270000000,969591794,0.0009,125,273,3,2018-12-12T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,60,0,160.73957946,2021-11-07T00:00:00Z,308397885.09,0.26223535,0.0304,-43905218.83,-0.1246,28608564.90,0.0304,ETH,2020-11-09T16:49:37.895041Z
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,47.07378294,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,19214820,21000000,904514284,0.0009,149,742,142,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,61,1,441.01410106,2021-04-16T00:00:00Z,30924598.00,0.70396310,0.0152,-8902204.91,-0.2235,13567387.86,0.0152,,
PAX,PAX,USDP,Pax Dollar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,0.99939306,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,899149545,899149545,898603814,0.0009,112,631,20,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,62,-1,1.07776718,2021-10-14T00:00:00Z,3894736.32,0.00046884560,0.0005,-3452255.31,-0.4699,944767.08,0.0011,ETH,
1INCH,1INCH,1INCH,1inch,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1INCH.jpg,active,0.61346424,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,1461125191,1500000000,896348060,0.0009,126,368,4,2018-12-17T00:00:00Z,2020-12-25T00:00:00Z,2019-02-14T00:00:00Z,63,0,7.50428289,2021-05-08T00:00:00Z,81945725.14,0.023506548,0.0398,5347253.19,0.0698,34346009.68,0.0398,ETH,2020-12-28T18:53:34.959468Z
OMI,OMI,OMI,ECOMI,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMI.png,active,0.0015265423,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,581910045187,750000000000,888310287,0.0008,5,8,0,2019-10-01T00:00:00Z,2021-03-23T00:00:00Z,2020-02-14T00:00:00Z,64,0,0.013123368,2021-03-19T00:00:00Z,989062.39,0.000055472192,0.0377,132744.56,0.1550,32279825.84,0.0377,GO,2021-02-02T14:53:17.269368Z
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,857.08037678,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,977631,977631,837908378,0.0008,179,792,15,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,65,1,5989.12868769,2021-05-03T00:00:00Z,54478067.76,19.35595446,0.0231,992496.74,0.0186,18922981.83,0.0231,ETH,
TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,1.00068776,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,823641683,823641683,824208150,0.0008,141,893,67,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,66,-1,1.08792441,2018-05-21T00:00:00Z,24345135.44,-0.0011874179,-0.0012,-4160846.79,-0.1460,552540.22,0.0007,ETH,
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.png,active,0.022702196,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,34325593382,34325593382,779266347,0.0007,9,83,0,2019-09-22T00:00:00Z,2020-04-02T00:00:00Z,2020-04-09T00:00:00Z,67,0,0.95915627,2019-11-26T00:00:00Z,2711985.49,0.000012128862,0.0005,-4549347.55,-0.6265,-3240657.51,-0.0041,ETH,
ELG,ELG,ELG,Escoin Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ELG.jpg,active,3.18034634,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,237976494,250000000,756847671,0.0007,10,16,1,2020-11-30T00:00:00Z,2020-11-30T00:00:00Z,2021-01-05T00:00:00Z,68,0,3.59180174,2022-06-18T00:00:00Z,2495633.06,0.00069263904,0.0002,106530.13,0.0446,164831.81,0.0002,ETH,2020-12-01T17:25:58.226026Z
BTT2,BTT2,BTT,BitTorrent V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTT2.png,active,0.00000080060610,2022-11-03T00:00:00Z,2022-11-03T21:20:00Z,945326125000000,990000000000000,756833866,0.0007,47,75,10,2019-01-31T00:00:00Z,2019-02-08T00:00:00Z,2019-02-14T00:00:00Z,69,1,0.010841760,2021-04-06T00:00:00Z,13581229.26,0.000000010888365,0.0138,-5379434.75,-0.2837,10293055.59,0.0138,TRX,2021-12-22T22:21:23.096382Z
